fecha,AAPL,MSFT,GOOGL,AMZN,SPY
2023-01-02,190.1,375.02,142.5,158.96,479.07
2023-01-03,190.22,375.23,139.52,160.12,479.61
2023-01-04,188.47,372.34,139.31,158.66,477.08
2023-01-05,184.31,368.98,137.68,157.09,470.19
2023-01-06,189.28,376.17,139.82,165.04,477.3
2023-01-09,185.11,369.21,133.47,162.73,469.61
2023-01-10,183.07,370.53,130.49,162.12,463.58
2023-01-11,181.28,363.75,131.04,165.48,461.46
2023-01-12,183.8,366.48,133.16,165.74,460.78
2023-01-13,178.76,361.23,134.42,164.94,456.48
2023-01-16,184.33,369.59,137.8,169.78,463.47
2023-01-17,183.55,363.31,137.15,168.38,463.19
2023-01-18,182.59,355.23,135.06,170.51,459.52
2023-01-19,180.16,347.94,131.19,166.34,451.5
2023-01-20,184.57,352.6,133.49,173.0,460.29
2023-01-23,184.06,353.18,134.66,173.02,457.19
2023-01-24,186.07,359.0,137.08,173.14,460.25
2023-01-25,184.46,355.91,138.18,176.81,461.43
2023-01-26,186.17,360.59,139.59,178.4,463.07
2023-01-27,186.12,368.86,142.78,179.96,466.03
2023-01-30,183.71,367.12,142.4,175.04,464.15
2023-01-31,182.18,370.41,142.89,179.65,464.87
2023-02-01,181.46,370.61,144.57,181.78,463.32
2023-02-02,182.09,371.6,144.19,180.2,466.86
2023-02-03,181.08,367.15,144.07,179.7,464.9
2023-02-06,183.43,372.18,146.46,184.83,470.04
2023-02-07,181.76,368.64,144.28,183.39,465.02
2023-02-08,176.7,362.17,139.1,173.32,457.38
2023-02-09,174.83,361.49,137.5,169.04,452.25
2023-02-10,173.52,358.75,135.17,166.54,446.43
2023-02-13,173.67,352.58,133.63,166.95,446.44
2023-02-14,178.52,353.56,136.46,173.09,453.35
2023-02-15,176.03,351.78,138.49,169.3,452.55
2023-02-16,179.25,353.59,140.8,168.96,453.6
2023-02-17,177.06,351.46,139.54,169.84,450.02
2023-02-20,176.8,354.57,141.07,167.52,452.06
2023-02-21,175.58,354.36,141.17,170.21,452.47
2023-02-22,170.63,343.0,138.48,165.5,447.16
2023-02-23,171.46,341.58,140.26,164.49,443.55
2023-02-24,177.23,342.56,143.32,170.23,449.14
2023-02-27,172.7,340.23,138.93,163.2,442.47
2023-02-28,174.96,344.26,141.87,164.63,445.7
2023-03-01,171.96,339.3,140.88,161.99,442.9
2023-03-02,170.51,335.45,139.63,160.13,441.38
2023-03-03,171.09,342.19,140.91,161.06,442.29
2023-03-06,171.25,344.81,140.24,160.99,444.24
2023-03-07,171.01,342.74,141.38,161.46,444.87
2023-03-08,174.3,351.16,143.63,163.12,450.48
2023-03-09,174.04,344.22,144.24,162.66,449.95
2023-03-10,170.95,344.65,142.33,160.65,444.82
2023-03-13,170.61,343.44,141.62,161.16,444.35
2023-03-14,173.35,345.51,141.17,162.02,447.4
2023-03-15,176.89,353.08,140.81,164.68,454.5
2023-03-16,177.16,351.67,141.11,163.56,455.3
2023-03-17,177.23,356.77,143.08,163.25,458.64
2023-03-20,179.97,358.41,143.49,158.96,461.04
2023-03-21,178.42,348.88,137.93,154.66,455.9
2023-03-22,178.27,350.4,136.34,151.06,456.39
2023-03-23,179.77,352.28,139.32,150.83,457.8
2023-03-24,182.8,362.91,142.44,157.9,464.12
2023-03-27,183.86,363.72,140.15,157.91,465.82
2023-03-28,183.54,363.09,142.32,155.81,462.73
2023-03-29,181.77,356.5,142.75,155.59,458.52
2023-03-30,180.13,364.75,142.93,154.24,460.45
2023-03-31,182.05,368.2,142.61,152.36,462.75
2023-04-03,182.0,362.16,143.37,153.88,461.32
2023-04-04,181.37,362.21,141.98,150.12,460.1
2023-04-05,177.41,358.41,137.55,146.63,454.42
2023-04-06,182.57,361.44,137.24,146.82,455.14
2023-04-07,180.99,360.94,137.98,150.31,454.23
2023-04-10,188.78,378.68,143.44,151.24,464.42
2023-04-11,189.1,370.5,141.98,149.58,459.74
2023-04-12,191.09,376.92,142.98,151.62,461.96
2023-04-13,188.85,374.34,142.73,149.45,455.25
2023-04-14,190.71,370.83,142.73,153.65,456.25
2023-04-17,187.28,361.11,141.77,151.4,452.33
2023-04-18,190.15,364.63,142.76,150.81,448.59
2023-04-19,185.77,358.84,140.0,148.87,443.52
2023-04-20,186.34,362.49,139.39,148.49,441.32
2023-04-21,189.33,366.52,141.89,154.19,448.2
2023-04-24,189.26,369.4,139.97,154.63,448.66
2023-04-25,184.61,368.33,137.25,153.63,444.46
2023-04-26,187.63,377.31,138.45,152.35,447.85
2023-04-27,190.27,379.45,138.53,154.43,444.72
2023-04-28,188.4,371.81,137.01,150.94,438.36
2023-05-01,187.46,365.21,135.41,147.93,434.15
2023-05-02,185.47,366.02,134.84,148.38,434.43
2023-05-03,183.24,365.24,134.64,148.32,432.54
2023-05-04,182.12,366.69,138.26,147.87,434.7
2023-05-05,181.18,368.38,139.06,150.45,430.55
2023-05-08,179.57,362.65,137.25,147.16,425.71
2023-05-09,181.62,372.49,135.04,147.0,428.77
2023-05-10,181.74,371.41,132.63,143.91,428.14
2023-05-11,184.96,376.17,133.03,145.57,430.77
2023-05-12,186.66,378.97,132.98,146.67,430.23
2023-05-15,189.2,387.0,133.21,149.06,432.09
2023-05-16,192.53,395.13,135.19,153.76,436.57
2023-05-17,190.71,390.46,133.61,151.46,433.83
2023-05-18,188.98,391.17,134.95,150.55,430.94
2023-05-19,191.26,398.88,136.69,149.72,434.57
2023-05-22,196.02,397.91,138.57,151.01,435.54
2023-05-23,197.68,395.0,138.95,154.35,436.86
2023-05-24,195.09,384.67,134.18,146.67,432.51
2023-05-25,194.44,379.86,130.99,142.5,428.08
2023-05-26,190.66,381.39,129.11,139.27,426.01
2023-05-29,195.18,392.6,131.48,142.84,432.64
2023-05-30,196.94,396.0,130.99,140.71,433.62
2023-05-31,193.41,396.75,130.29,137.53,430.7
2023-06-01,191.99,394.35,131.01,134.41,425.47
2023-06-02,193.13,395.24,131.71,135.93,426.5
2023-06-05,195.69,395.2,132.44,135.18,425.38
2023-06-06,197.71,400.24,130.69,133.11,426.55
2023-06-07,201.19,402.25,131.59,131.64,432.83
2023-06-08,202.82,408.12,134.08,135.26,438.04
2023-06-09,201.87,409.96,134.28,137.9,437.65
2023-06-12,200.28,410.59,136.1,138.61,436.79
2023-06-13,200.02,408.25,138.8,141.32,440.39
2023-06-14,201.09,407.47,140.94,145.9,443.87
2023-06-15,201.13,412.04,141.13,148.03,444.31
2023-06-16,198.2,410.43,140.64,151.18,443.07
2023-06-19,198.39,406.07,136.7,145.36,439.88
2023-06-20,194.86,405.9,138.13,144.45,441.99
2023-06-21,195.68,411.71,139.0,147.56,443.11
2023-06-22,197.72,412.71,139.48,149.77,445.27
2023-06-23,197.61,415.63,141.36,147.71,447.11
2023-06-26,199.82,415.62,142.6,145.91,450.66
2023-06-27,199.2,414.49,144.32,146.06,452.01
2023-06-28,196.05,407.86,139.8,142.56,448.56
2023-06-29,196.86,412.68,139.12,141.02,448.41
2023-06-30,198.76,416.86,140.34,143.6,451.08
2023-07-03,198.81,422.5,140.34,144.44,455.88
2023-07-04,199.25,426.19,140.05,148.98,453.75
2023-07-05,195.84,416.95,140.27,148.28,449.67
2023-07-06,192.04,413.14,138.75,144.9,442.9
2023-07-07,188.84,409.51,137.74,143.56,439.79
2023-07-10,183.76,402.44,133.36,140.03,434.38
2023-07-11,181.92,395.73,133.28,139.75,430.77
2023-07-12,173.63,383.55,129.78,137.49,421.37
2023-07-13,171.98,379.49,129.91,134.43,418.66
2023-07-14,169.59,377.06,126.34,132.92,414.44
2023-07-17,169.1,378.38,128.21,130.35,416.3
2023-07-18,170.69,379.66,131.12,132.4,421.34
2023-07-19,169.2,374.25,131.64,136.1,421.9
2023-07-20,171.7,376.14,130.56,136.05,425.75
2023-07-21,166.84,367.28,124.56,131.82,419.58
2023-07-24,163.7,361.25,124.58,130.36,414.09
2023-07-25,160.44,349.36,122.6,126.34,409.58
2023-07-26,162.74,350.39,122.64,128.53,411.79
2023-07-27,163.52,345.78,123.33,127.01,406.7
2023-07-28,162.04,345.21,125.99,126.94,404.59
2023-07-31,167.65,353.7,128.84,128.19,408.7
2023-08-01,171.7,358.41,130.05,129.12,415.06
2023-08-02,170.21,358.66,130.08,129.24,413.02
2023-08-03,172.09,367.21,132.18,129.45,414.43
2023-08-04,172.71,367.13,132.16,129.63,412.07
2023-08-07,174.95,371.21,133.45,131.48,416.67
2023-08-08,175.2,368.45,134.89,131.05,415.17
2023-08-09,171.04,362.72,130.86,127.05,410.26
2023-08-10,171.23,366.76,132.18,127.16,411.27
2023-08-11,169.97,367.4,131.95,126.06,412.02
2023-08-14,170.33,366.25,129.4,125.93,411.35
2023-08-15,170.57,365.04,127.91,124.93,410.71
2023-08-16,170.33,364.22,126.94,125.08,410.53
2023-08-17,168.42,364.33,127.65,126.41,410.27
2023-08-18,168.0,359.57,127.8,122.09,406.92
2023-08-21,167.21,361.59,127.95,120.38,404.1
2023-08-22,165.39,359.43,127.09,119.13,400.95
2023-08-23,164.94,362.45,125.81,118.84,403.79
2023-08-24,166.49,363.08,127.38,118.53,405.06
2023-08-25,170.71,376.3,128.33,122.11,414.99
2023-08-28,169.36,375.34,130.15,121.5,415.51
2023-08-29,169.3,368.11,129.32,120.36,414.71
2023-08-30,175.07,379.04,132.4,124.49,422.6
2023-08-31,178.02,377.8,131.09,120.92,422.91
2023-09-01,178.08,375.5,129.51,119.21,419.5
2023-09-04,177.28,372.59,130.95,119.92,417.79
2023-09-05,175.76,375.02,131.7,120.55,419.6
2023-09-06,180.31,376.83,132.08,118.78,422.27
2023-09-07,179.35,373.02,129.87,118.75,419.88
2023-09-08,177.96,375.87,128.35,115.92,423.26
2023-09-11,177.04,372.59,126.35,114.57,422.29
2023-09-12,179.26,377.79,127.44,113.28,424.93
2023-09-13,183.7,388.18,130.21,117.27,431.0
2023-09-14,183.65,383.37,128.82,116.71,428.77
2023-09-15,186.0,394.06,133.48,119.04,433.52
2023-09-18,184.21,387.76,131.9,118.43,430.85
2023-09-19,184.88,389.37,132.15,117.49,434.51
2023-09-20,188.07,390.28,131.67,117.06,435.7
2023-09-21,191.95,399.71,136.14,122.01,445.08
2023-09-22,194.3,404.85,137.49,120.2,446.85
2023-09-25,200.01,410.52,138.94,124.13,452.48
2023-09-26,198.62,415.13,140.47,126.09,453.24
2023-09-27,200.3,419.1,142.97,129.79,459.28
2023-09-28,200.96,422.99,141.83,131.05,461.85
2023-09-29,199.85,418.23,140.57,127.73,459.36
2023-10-02,200.9,415.76,140.46,129.8,461.98
2023-10-03,204.24,419.75,141.45,130.42,466.01
2023-10-04,212.07,436.53,149.36,138.85,475.51
2023-10-05,211.53,433.95,151.03,142.68,475.2
2023-10-06,211.78,436.8,150.71,141.52,474.1
2023-10-09,214.88,437.07,153.69,143.53,478.6
2023-10-10,220.3,441.43,154.38,146.26,480.6
2023-10-11,217.91,437.81,153.35,142.45,476.51
2023-10-12,220.05,446.71,151.87,145.81,481.79
2023-10-13,216.46,435.45,149.64,142.5,476.22
2023-10-16,219.53,437.96,151.17,144.96,481.16
2023-10-17,225.82,453.96,156.18,148.89,495.39
2023-10-18,228.24,459.2,155.65,151.35,496.45
2023-10-19,226.74,451.2,152.82,149.52,489.22
2023-10-20,223.71,446.91,148.95,144.39,482.33
2023-10-23,218.96,443.39,145.35,143.37,480.05
2023-10-24,215.02,438.32,142.63,138.76,474.19
2023-10-25,214.33,440.58,144.64,137.29,473.94
2023-10-26,216.25,448.51,142.19,139.96,476.13
2023-10-27,221.65,454.03,142.97,141.93,482.75
2023-10-30,221.89,443.8,142.46,137.79,476.84
2023-10-31,218.0,430.68,137.14,132.14,467.13
2023-11-01,217.95,429.22,134.4,130.66,467.16
2023-11-02,221.36,434.3,137.06,134.47,474.76
2023-11-03,227.49,440.87,139.1,139.99,484.45
2023-11-06,233.21,437.81,139.48,134.5,485.5
2023-11-07,233.55,438.53,139.43,137.23,486.12
2023-11-08,237.52,445.99,142.19,140.56,491.78
2023-11-09,233.61,444.35,142.26,139.4,491.25
2023-11-10,237.08,443.03,142.55,139.23,490.26
2023-11-13,238.42,441.01,141.73,139.56,490.78
2023-11-14,239.78,452.78,143.14,141.73,492.82
2023-11-15,241.74,460.61,147.07,142.83,496.67
2023-11-16,246.74,466.53,150.96,143.64,504.56
2023-11-17,250.92,474.01,151.7,144.92,508.8
2023-11-20,252.11,475.06,151.72,145.66,512.82
2023-11-21,244.4,459.09,144.47,138.95,497.5
2023-11-22,246.69,462.43,145.07,138.46,499.47
2023-11-23,247.53,465.08,144.39,139.89,497.44
2023-11-24,252.6,457.07,143.08,137.37,497.52
2023-11-27,246.9,458.61,139.44,139.18,496.18
2023-11-28,247.17,461.01,143.68,142.92,495.03
2023-11-29,252.01,468.13,143.04,145.74,496.38
2023-11-30,252.88,470.37,142.44,147.25,495.25
2023-12-01,253.79,468.97,142.07,151.45,496.69
2023-12-04,249.63,463.38,138.95,148.99,492.36
2023-12-05,250.11,464.42,138.28,149.89,495.06
2023-12-06,247.82,461.4,137.42,151.65,496.15
2023-12-07,245.14,458.48,133.9,147.27,491.74
2023-12-08,247.73,466.2,135.1,145.92,495.34
2023-12-11,247.2,467.59,135.46,147.63,497.63
2023-12-12,250.65,469.8,138.18,148.54,500.93
2023-12-13,258.26,480.99,139.47,154.77,510.8
2023-12-14,263.09,487.97,142.12,156.87,514.22
2023-12-15,269.67,494.25,143.55,158.23,523.03
2023-12-18,273.58,497.22,144.7,160.94,528.33
2023-12-19,266.89,493.66,142.42,156.78,522.2
2023-12-20,270.4,506.9,145.41,161.02,527.15
2023-12-21,272.66,514.01,144.28,160.27,530.62
2023-12-22,265.37,503.04,142.21,153.31,521.75
2023-12-25,265.75,508.12,140.82,155.69,523.93
2023-12-26,270.97,520.83,144.32,160.25,527.47
2023-12-27,265.43,508.65,140.79,158.98,517.07
2023-12-28,264.25,500.53,136.7,159.85,513.64
2023-12-29,271.3,515.52,138.65,158.84,524.45
2024-01-01,269.74,507.74,138.39,158.22,520.39
2024-01-02,268.43,507.0,138.14,159.59,519.36
2024-01-03,267.14,508.52,138.63,162.27,519.8
2024-01-04,266.88,502.39,140.22,159.22,518.54
2024-01-05,263.32,499.69,140.38,154.6,514.92
2024-01-08,256.28,497.86,137.93,148.53,507.66
2024-01-09,261.79,512.59,143.42,151.12,515.56
2024-01-10,268.77,517.86,145.02,151.35,517.1
2024-01-11,274.09,528.04,148.42,155.74,526.17
2024-01-12,280.85,536.67,150.44,156.06,533.62
2024-01-15,278.75,526.11,147.92,154.05,530.88
2024-01-16,283.36,528.03,147.65,154.19,529.89
2024-01-17,283.03,530.16,147.97,150.77,526.53
2024-01-18,288.99,532.16,150.77,154.54,530.46
2024-01-19,284.66,528.05,147.67,151.87,526.35
2024-01-22,281.63,523.2,145.78,147.56,521.71
2024-01-23,278.98,510.55,142.77,144.53,514.5
2024-01-24,270.23,503.87,141.26,143.36,510.04
2024-01-25,265.09,498.19,137.81,145.36,505.29
2024-01-26,268.05,494.16,135.78,143.69,505.44
2024-01-29,270.53,498.7,133.83,146.05,505.16
2024-01-30,277.67,517.05,139.16,153.04,513.21
2024-01-31,289.36,532.61,145.34,156.88,523.81
2024-02-01,284.16,525.07,143.28,155.18,522.39
2024-02-02,286.49,529.28,144.38,161.09,525.08
2024-02-05,292.08,525.7,143.33,162.45,525.6
2024-02-06,306.42,557.0,147.72,166.55,539.38
2024-02-07,315.12,574.03,152.29,167.75,545.78
2024-02-08,302.26,549.93,147.29,163.66,530.65
2024-02-09,302.97,559.96,149.15,164.52,535.46
2024-02-12,305.7,563.87,149.21,164.3,537.27
2024-02-13,303.27,568.57,151.08,167.66,544.17
2024-02-14,311.12,586.69,155.81,171.88,559.11
2024-02-15,308.04,579.32,152.54,170.0,555.74
2024-02-16,313.28,584.62,151.0,171.48,560.61
2024-02-19,313.65,584.39,152.07,175.72,562.33
2024-02-20,306.91,572.88,148.93,167.77,555.93
2024-02-21,303.42,571.57,148.46,166.09,557.82
2024-02-22,300.93,564.72,147.57,166.88,555.49
2024-02-23,296.5,563.18,147.62,171.16,554.68
2024-02-26,297.68,561.53,144.92,170.27,555.29
2024-02-27,293.14,552.17,140.74,170.21,548.5
2024-02-28,296.0,551.01,141.21,169.36,543.51
2024-02-29,296.54,554.69,138.21,167.89,541.67
2024-03-01,291.72,547.39,133.18,164.72,538.14
2024-03-04,286.15,540.16,133.59,163.68,533.55
2024-03-05,282.24,536.3,132.16,163.52,527.34
2024-03-06,287.24,540.45,134.63,164.22,528.13
